id,name,price,description,restaurant_id
100,Café Vanilla Frappuccino®,4.99,"Coffee with vanilla bean powder, blended with whole milk and ice. Topped with sweetened whipped cream.",13
101,Café Vanilla Frappuccino® Blended Beverage (Grande),4.99,"We take Frappuccino® roast coffee and vanilla bean powder, combine them with milk and ice, topped with whipped cream. Tastes like happiness.",13
102,Café Vanilla Frappuccino®,4.99,"Coffee with vanilla bean powder, blended with whole milk and ice. Topped with sweetened whipped cream.",13
103,Tall Caramel Frappuccino®,4.99,"Coffee blended with caramel sauce, whole milk and ice. Topped with whipped cream and caramel sauce.",13
104,Caramel Frappuccino® Blended Beverage (Grande),4.99,"Caramel syrup meets coffee, milk and ice for a rendezvous in the blender, while whipped cream and buttery caramel sauce layer the love on top. To change things up, try it affogato-style with a hot espresso shot poured right over the top.",13
105,Venti Caramel Frappuccino®,4.99,"Coffee blended with caramel sauce, whole milk and ice. Topped with whipped cream and caramel sauce.",13
106,Tall Coffee Frappuccino®,4.99,Coffee blended with milk and ice.,13
107,Coffee Frappuccino® Blended Beverage (Grande),4.99,Coffee meets milk and ice in a blender for a rumble-and-tumble togetherness to create one of our most-beloved original Frappuccino® blended beverages.,13
108,Venti Coffee Frappuccino®,4.99,Coffee blended with milk and ice.,13
109,Double Chocolaty Chip Frappuccino®,4.99,"A creamy blend of rich mocha-flavored sauce, chocolaty chips, milk and ice. Topped with sweetened whipped cream and mocha drizzle.",13
110,Double Chocolaty Chip Frappuccino® Blended Beverage (Grande),4.99,"Rich mocha-flavored sauce meets up with chocolaty chips, milk and ice for a blender bash. Top it off with sweetened whipped cream and mocha drizzle for a real party in your mouth.",13
111,Double Chocolaty Chip Frappuccino®,4.99,"A creamy blend of rich mocha-flavored sauce, chocolaty chips, milk and ice. Topped with sweetened whipped cream and mocha drizzle.",13
112,Espresso Frappuccino®,4.99,"Coffee with espresso, blended with milk and ice.",13
113,Espresso Frappuccino® Blended Beverage (Grande),4.99,"Coffee is combined with a shot of espresso and milk, then blended with ice to give you a nice little jolt and lots of sipping joy.",13
114,Espresso Frappuccino®,4.99,"Coffee with espresso, blended with milk and ice.",13
115,Java Chip Frappuccino®,4.99,"Coffee with rich mocha-flavored sauce blended with milk, chocolaty chips and ice.  Topped with sweetened whipped cream and chocolate flavored drizzle.",13
116,Java Chip Frappuccino® Blended Beverage (Grande),4.99,"We blend mocha sauce and Frappuccino® chips with coffee, milk and ice, then top it off with whipped cream and a mocha drizzle to bring you endless java joy.",13
117,Java Chip Frappuccino®,4.99,"Coffee with rich mocha-flavored sauce blended with milk, chocolaty chips and ice.  Topped with sweetened whipped cream and chocolate flavored drizzle.",13
118,Mocha Frappuccino®,4.99,Coffee with rich mocha flavored sauce blended with milk and ice. Topped with sweetened whipped cream.,13
119,Mocha Frappuccino® Blended Beverage (Grande),4.99,"Mocha sauce, Frappuccino® Roast coffee, milk and ice all come together for a mocha flavor that'll leave you wanting more. To change things up, try it affogato-style with a hot espresso shot poured right over the top.",13
120,Mocha Frappuccino®,4.99,Coffee with rich mocha flavored sauce blended with milk and ice. Topped with sweetened whipped cream.,13
121,Peppermint Mocha Frappuccino®,4.99,"Coffee blended with flavored peppermint syrup, rich mocha sauce, milk and ice. Topped with sweetened whipped cream and dark chocolate curls.",13
122,Peppermint Mocha Frappuccino® Blended Beverage (Grande),4.99,"A delectable blend of chocolate-pepperminty perfection in every cool sip—Frappuccino® Roast coffee, mocha sauce, peppermint-flavored syrup, milk and ice, topped with whipped cream and dark chocolate curls.",13
123,Peppermint Mocha Frappuccino®,4.99,"Coffee blended with flavored peppermint syrup, rich mocha sauce, milk and ice. Topped with sweetened whipped cream and dark chocolate curls.",13
124,Strawberries & Crème Frappuccino®,4.99,Strawberries and milk blended with ice and topped with a swirl of whipped cream.,13
125,Strawberries Crème Frappuccino® Blended Beverage (Grande),4.99,"Summer's favorite berry is the star of this delicious Frappuccino® Blended Beverage—a blend of ice, milk and strawberry puree layered on top of a splash of strawberry puree and finished with vanilla whipped cream.",13
126,Strawberries & Crème Frappuccino®,4.99,Strawberries and milk blended with ice and topped with a swirl of whipped cream.,13
127,Vanilla Bean Crème Frappuccino®,4.99,"A rich and creamy blend of vanilla bean, milk, and ice. Topped with whipped cream.",13
128,Vanilla Bean Crème Frappuccino® Blended Beverage,4.99,"This rich and creamy blend of vanilla bean, milk and ice topped with whipped cream takes va-va-vanilla flavor to another level. To change things up, try it affogato-style with a hot espresso shot poured right over the top.",13
129,Vanilla Bean Crème Frappuccino®,4.99,"A rich and creamy blend of vanilla bean, milk, and ice. Topped with whipped cream.",13
130,White Chocolate Mocha Frappuccino®,4.99,"Coffee and white chocolate flavored sauce, blended with milk and ice. Topped with sweetened whipped cream.",13
131,White Chocolate Mocha Frappuccino® Blended Beverage (Grande),4.99,"White chocolate Frappuccino® Roast coffee, milk and ice get together for what might be the best thing that happens to you all day. Oh, and there's whipped cream on top.",13
132,White Chocolate Mocha Frappuccino®,4.99,"Coffee and white chocolate flavored sauce, blended with milk and ice. Topped with sweetened whipped cream.",13
133,Chai Crème Frappuccino®,4.99,"A creamy blend of spicy Teavana® chai, milk and ice. Topped with sweetened whipped cream and a dash of cinnamon.",13
134,Chai Crème Frappuccino®,4.99,"A creamy blend of spicy Teavana® chai, milk and ice. Topped with sweetened whipped cream and a dash of cinnamon.",13
135,Chai Crème Frappuccino®,4.99,"A creamy blend of spicy Teavana® chai, milk and ice. Topped with sweetened whipped cream and a dash of cinnamon.",13
136,Green Tea Crème Frappuccino®,4.99,"A refreshing blend of sweetened matcha green tea, milk and ice. Topped with sweetened whipped cream.",13
137,Green Tea Crème Frappuccino®,4.99,"A refreshing blend of sweetened matcha green tea, milk and ice. Topped with sweetened whipped cream.",13
138,Green Tea Crème Frappuccino®,4.99,"A refreshing blend of sweetened matcha green tea, milk and ice. Topped with sweetened whipped cream.",13
139,Caramel Ribbon Crunch Creme Frappuccino Blended Beverage (Grande),4.99,"Buttery caramel syrup is blended with milk and ice, then topped with a layer of dark caramel sauce, whipped cream, caramel drizzle and a crunchy caramel-sugar topping—oh-so-beautifully delicious.",13
140,Banana Walnut & Pecan Loaf,4.99,"Bananas, walnuts and pecans mixed into a moist, nutty, classic banana bread. - VEGETARIAN",13
141,Blueberry Scone,4.99,"Buttermilk scone with blueberries, crème fraîche and a hint of lemon zest. - VEGETARIAN",13
142,Butter Croissant,4.99,"Classic butter croissant with soft, flaky layers and a golden-brown crust.  -VEGETARIAN",13
143,Cheese Danish,4.99,"Flaky, butter croissant dough with soft, warm cheese in the center. - VEGETARIAN",13
144,Chocolate Chunk Cookie,4.99,Chewy cookie loaded with premium chocolate chunks,13
145,Chocolate Croissant,4.99,"Two generous pieces of chocolate wrapped in a butter croissant with soft, flaky layers and a golden-brown crust.  -VEGETARIAN",13
146,Double Chocolate Brownie,4.99,Rich chocolate brownie with generous chunks of semisweet chocolate. - VEGETARIAN,13
147,Iced Lemon Loaf,4.99,"Citrusy, buttery, moist lemon pound cake topped with a sweet icing. -VEGETARIAN",13
148,Gluten-free Marshmallow Dream Bar,4.99,"A crispy, chewy marshmallow bar",13
149,Old Fashioned Glazed Doughnut,4.99,Old-fashioned cake doughnut glazed with sweet icing. - VEGETARIAN,13
150,Pumpkin & Pepita Loaf,4.99,Gently spiced pumpkin bread topped with crunchy pepitas. - VEGETARIAN,13
151,Cinnamon Coffee Cake,4.99,"Buttery, moist, coffee cake swirled with a cinnamon-sugar blend and finished with a crunchy streusel topping.  -VEGETARIAN",13
152,Blueberry Yogurt Muffin with Honey,4.99,"A buttery muffin with seasonal blueberries, yogurt and honey",13
153,Petite Vanilla Bean Scone,4.99,"Moist, fluffy, petite scone made with real vanilla beans and vanilla extract.  -VEGETARIAN",13
154,Pumpkin Cream Cheese Muffin,4.99,"New for fall--a moist, richly spiced pumpkin muffin",13
155,Chocolate Cake Pop,4.99,"Chocolate cake mixed with chocolate butter cream, dipped in dark chocolate and topped with sugar sprinkles",13
156,Ham & Cheese Croissant,4.99,"Hickory-smoked ham and melted Swiss cheese wrapped in a butter croissant with soft, flaky layers and a golden-brown crust.",13
157,Blueberry Muffin,4.99,"Soft muffin with sweet, juicy blueberries and a hint of lemon, finished with a crunchy sugar topping.  -VEGETARIAN",13
158,Everything Bagel with Cheese,4.99,"A New York style bagel topped with Asiago cheese, poppy and sesame seeds, onion and garlic.",13
159,Birthday Cake Pop,4.99,"Bite-sized vanilla cake mixed with vanilla buttercream, dipped in pink chocolaty icing and topped with white sprinkles.  -VEGETARIAN",13
160,Plain Bagel,4.99,"Classic soft, chewy and thick New York–style bagel. Available with cream cheese or butter. - VEGAN - VEGETARIAN",13
161,"Spinach, Feta & Egg White Wrap",4.99,"Cage-free egg whites are combined with spinach, feta cheese and sun-dried tomato cream cheese inside a whole-wheat wrap. - VEGETARIAN",13
162,Classic Rolled & Steel-Cut Oatmeal,4.99,"A blend of rolled and whole-grain steel-cut oats topped with raisins, dried cranberries, sliced almonds, pecans, walnuts and brown sugar. Customize toppings any way you like. - VEGETARIAN",13
163,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,4.99,"Sizzling reduced-fat turkey bacon and wholesome cage-free egg whites are paired with the rich creaminess of melted, reduced-fat white cheddar cheese on an organic wheat English muffin.",13
164,"Sausage, Cheddar & Egg Sandwich",4.99,"A savory sausage patty, fluffy cage-free eggs and aged Cheddar cheese on a perfectly toasted English muffin.",13
165,"Double-Smoked Bacon, Cheddar & Egg Sandwich",4.99,"Bacon smoked for six hours over hickory wood chips, stacked with a cage-free fried egg, topped with a melted slice of sharp Cheddar cheese—all on our signature croissant bun.",13
166,Hearty Blueberry Oatmeal,4.99,A blend of rolled and steel-cut oats with blueberries and agave syrup.,13
167,Egg White & Roasted Red Pepper Egg Bites,4.99,"Cage-free egg whites combined with Monterey Jack cheese, spinach and fire-roasted red peppers and cooked using the French ""sous vide"" technique to create a velvety texture that's full of flavor.  -VEGETARIAN",13
168,Bacon & Gruyère Egg Bites,4.99,"Applewood-smoked bacon and aged Gruyère Monterey Jack cheeses folded into cage-free eggs and cooked using the French ""sous vide"" technique to create a velvety texture that's full of flavor.",13
169,"Bacon, Gouda, & Egg Breakfast Sandwich",4.99,"Sizzling applewood-smoked bacon, melty aged Gouda and a Parmesan frittata layered on an artisan roll for extra-smoky breakfast goodness.",13
170,Avocado Spread,4.99,"Avocadoes mixed with lime, sea salt, garlic and a touch of spice—specially packaged to maintain freshness without the use of heat, additives or preservatives.",13
171,"Turkey Bacon, Cheddar & Egg White Sandwich",4.99,"Sizzling turkey bacon and cage-free egg whites paired with creamy, melted, reduced-fat white Cheddar cheese on a wheat English muffin.",13
172,"Bacon, Sausage & Egg Wrap",4.99,"Double-smoked bacon, savory pork sausage and cage-free scrambled eggs combined with Cheddar cheese and potatoes--all wrapped in a flour tortilla.",13
173,Impossible™ Breakfast Sandwich,4.99,The savory Impossible™ Sausage Made from Plants combined with a cage-free fried egg and aged Cheddar cheese on an artisan sesame ciabatta bun. - VEGETARIAN,13
174,Featured Dark Roast (Short),4.99,"One of our rich flavorful brewed coffees, selected to showcase our roasting and blending artistry",13
175,Featured Dark Roast (Tall),4.99,"One of our rich flavorful brewed coffees, selected to showcase our roasting and blending artistry",13
176,Featured Dark Roast (Grande),4.99,"One of our rich flavorful brewed coffees, selected to showcase our roasting and blending artistry",13
177,Featured Dark Roast (Venti),4.99,"One of our rich flavorful brewed coffees, selected to showcase our roasting and blending artistry",13
178,Caffé Misto (Short),4.99,Brewed coffee and steamed 2% milk,13
179,Caffé Misto (Tall),4.99,Brewed coffee and steamed 2% milk,13
180,Caffé Misto (Grande),4.99,A one-to-one combination of fresh-brewed coffee and steamed milk add up to one distinctly delicious coffee drink remarkably mixed.,13
181,Caffé Misto (Venti),4.99,Brewed coffee and steamed 2% milk,13
182,Iced Coffee (Tall),4.99,Freshly brewed Starbucks Iced Coffee Blend served chilled and slightly sweetened on ice,13
183,Iced Coffee (Grande),4.99,Freshly brewed Starbucks Iced Coffee Blend served chilled and slightly sweetened on ice,13
184,Iced Coffee (Venti),4.99,Freshly brewed Starbucks Iced Coffee Blend served chilled and slightly sweetened on ice,13
185,Iced Coffee (Tranta),4.99,Freshly brewed Starbucks Iced Coffee Blend served chilled and slightly sweetened on ice,13
186,Pike Place Roast (Short),4.99,A smooth balanced brew from a specialty roast of blended coffees,13
187,Pike Place Roast (Tall),4.99,A smooth balanced brew from a specialty roast of blended coffees,13
188,Pike Place Roast (Grande),4.99,A smooth balanced brew from a specialty roast of blended coffees,13
189,Pike Place Roast (Venti),4.99,A smooth balanced brew from a specialty roast of blended coffees,13
190,Cold Brew Coffee Grande,4.99,"Handcrafted in small batches daily, slow-steeped in cool water for 20 hours, without touching heat—Starbucks® Cold Brew is made from our custom blend of beans grown to steep long and cold for a super-smooth flavor.",13
191,Caramel Apple Spice,4.99,"Steamed apple juice complemented with cinnamon syrup, whipped cream and a caramel sauce drizzle.",13
192,Hot Chocolate,4.99,"Steamed 2% milk with vanilla and mocha flavored syrups, topped with sweetened whipped cream and chocolate flavored drizzle",13
193,Hot Chocolate,4.99,"Steamed 2% milk with vanilla and mocha flavored syrups, topped with sweetened whipped cream and chocolate flavored drizzle",13
194,Hot Chocolate,4.99,"Steamed 2% milk with vanilla and mocha flavored syrups, topped with sweetened whipped cream and chocolate flavored drizzle",13
195,Hot Chocolate,4.99,"Steamed 2% milk with vanilla and mocha flavored syrups, topped with sweetened whipped cream and chocolate flavored drizzle",13
196,Peppermint Hot Chocolate,4.99,"Steamed 2% milk with peppermint, mocha and vanilla flavored syrups, sweetened whipped cream and dark chocolate curls",13
197,Peppermint Hot Chocolate,4.99,"Steamed 2% milk with peppermint, mocha and vanilla flavored syrups, sweetened whipped cream and dark chocolate curls",13
198,Peppermint Hot Chocolate (Grande),4.99,"A big welcome back to our classic holiday hot chocolate—lovingly made with chocolaty mocha sauce, peppermint-flavored syrup and steamed milk and sweetly topped with whipped cream and dark chocolate curls.",13
199,Peppermint Hot Chocolate,4.99,"Steamed 2% milk with peppermint, mocha and vanilla flavored syrups, sweetened whipped cream and dark chocolate curls",13
200,White Hot Chocolate,4.99,A traditional hot chocolate beverage made with white chocolate and steamed milk topped with whipped cream,13
201,White Hot Chocolate,4.99,A traditional hot chocolate beverage made with white chocolate and steamed milk topped with whipped cream,13
202,White Hot Chocolate (Grande),4.99,"A traditional hot chocolate beverage made with white chocolate sauce and steamed milk, topped with whipped cream.",13
203,White Hot Chocolate,4.99,A traditional hot chocolate beverage made with white chocolate and steamed milk topped with whipped cream,13
204,Peppermint White Hot Chocolate (Grande),4.99,"A sweet twist on holiday hot chocolate—white chocolate mocha sauce, peppermint-flavored syrup and steamed milk, topped with whipped cream and dark chocolate curls.",13
205,Caffe Americano,4.99,"Rich, full bodied espresso with hot water in true European style",13
206,Caffe Americano,4.99,"Rich, full bodied espresso with hot water in true European style",13
207,Caffe Americano (Grande),4.99,Espresso shots topped with hot water create a light layer of crema culminating in this wonderfully rich cup with depth and nuance.,13
208,Caffe Americano,4.99,"Rich, full bodied espresso with hot water in true European style",13
209,Caffe Latte,4.99,"Rich, full bodied espresso in 2% steamed milk, lightly topped with foam",13
210,Caffe Latte (Grande),4.99,"Our dark, rich espresso balanced with steamed milk and a light layer of foam. A perfect milk-forward warm-up.",13
211,Caffe Latte,4.99,"Rich, full bodied espresso in 2% steamed milk, lightly topped with foam",13
212,Caffe Mocha,4.99,"Espresso with bittersweet mocha sauce and steamed 2% milk, topped with sweetened whipped cream",13
213,Caffe Mocha (Grande),4.99,"Our rich, full-bodied espresso combined with bittersweet mocha sauce and steamed milk, then topped with sweetened whipped cream. The classic coffee drink that always sweetly satisfies.",13
214,Caffe Mocha,4.99,"Espresso with bittersweet mocha sauce and steamed 2% milk, topped with sweetened whipped cream",13
215,Cappuccino,4.99,"Espresso with steamed 2% milk, topped with a deep layer of foam",13
216,Cappuccino,4.99,"Espresso with steamed 2% milk, topped with a deep layer of foam",13
217,Cappuccino (Grande),4.99,"Dark, rich espresso lies in wait under a smoothed and stretched layer of thick milk foam. An alchemy of barista artistry and craft.",13
218,Cappuccino,4.99,"Espresso with steamed 2% milk, topped with a deep layer of foam",13
219,Caramel Macchiato,4.99,"Freshly steamed milk with vanilla flavored syrup, marked with espresso and finished with caramel sauce",13
220,Caramel Macchiato (Grande),4.99,"Freshly steamed milk with vanilla flavored syrup, marked with espresso and finished with caramel sauce",13
221,Caramel Macchiato,4.99,"Freshly steamed milk with vanilla flavored syrup, marked with espresso and finished with caramel sauce",13
222,Cinnamon Dolce Latte,4.99,Espresso with steamed milk and cinnamon dolce flavored syrup. Topped with sweetened whipped cream and cinnamon dolce topping.,13
223,Cinnamon Dolce Latte (Grande),4.99,"We add freshly steamed milk and cinnamon dolce-flavored syrup to our classic espresso, topped with sweetened whipped cream and a cinnamon dolce topping to bring you specialness in a treat.",13
224,Cinnamon Dolce Latte,4.99,Espresso with steamed milk and cinnamon dolce flavored syrup. Topped with sweetened whipped cream and cinnamon dolce topping.,13
225,Espresso,4.99,Made with our own espresso roast.,13
226,Espresso,4.99,Made with our own espresso roast.,13
227,Espresso Con Panna,4.99,Espresso topped with whipped cream,13
228,Espresso Macchiato,4.99,Our rich espresso marked with dollop of steamed milk and foam. A European-style classic.,13
229,Espresso Macchiato Doppio,4.99,Our rich espresso marked with dollop of steamed milk and foam. A European-style classic.,13
230,Flavored Latte,4.99,Espresso and steamed milk flavored with syrup,13
231,Flavored Latte,4.99,Espresso and steamed milk flavored with syrup,13
232,Flavored Latte,4.99,Espresso and steamed milk flavored with syrup,13
233,Flavored Latte,4.99,Espresso and steamed milk flavored with syrup,13
